Delta,Theta,Alpha ,Beta,Gamma
10.560995,10.263087,10.42366,20.80661,15.257596
10.558737,10.291846,10.407538,20.802114,15.258409
10.555028,10.319645,10.392869,20.79858,15.259021
10.550268,10.345067,10.380615,20.796005,15.259431
10.545045,10.366026,10.372271,20.794383,15.259633
10.540141,10.379748,10.369863,20.793704,15.259626
10.536391,10.383375,10.375412,20.793958,15.259406
10.534405,10.374907,10.390228,20.795142,15.258969
10.53444,10.353576,10.414824,20.797244,15.258315
10.536293,10.320147,10.448684,20.800254,15.257442
10.53933,10.276683,10.490258,20.804175,16.804002
10.542737,10.225628,10.53757,20.80901,16.420909
10.54574,10.169183,10.588658,20.814767,15.253498
10.547688,10.109024,10.641797,20.821448,15.251741
10.54808,10.046615,10.695652,20.82905,15.249764
10.546606,9.983462,10.749488,20.837575,15.247571
10.543053,9.921503,10.803003,20.847022,15.245163
10.537235,9.863032,10.856096,20.857383,15.242546
10.529031,9.809714,10.908896,20.868648,15.239725
10.518372,9.762197,10.961725,20.880806,15.236707
10.505209,9.720244,11.014902,20.893842,15.233499
10.489523,9.683194,11.068812,20.907735,15.230111
10.471338,9.650305,11.123878,20.92246,15.226552
10.450702,9.620898,11.180464,20.937989,15.222835
10.427628,9.594255,11.238785,20.954293,15.218971
10.402122,9.569606,11.298969,20.971339,15.214973
10.374161,9.546199,11.361108,20.989093,15.210852
10.343709,9.523343,11.425294,21.007515,15.206623
10.310706,9.50051,11.491677,21.026561,15.202299
10.275057,9.477397,11.560475,21.046191,15.197897
10.236647,9.453772,11.631917,21.066367,15.193429
10.195335,9.429481,11.736907,21.087036,15.188913
10.348063,9.404507,11.853389,21.108133,15.184361
10.6888,9.378727,11.974782,21.129584,15.179791
11.015096,9.351879,12.101901,21.151322,15.175219
11.320087,9.323617,12.235711,21.17326,15.170661
11.599313,9.2936,12.377183,21.195259,15.166133
11.861871,9.3957,12.527685,21.217171,15.16165
12.121111,9.543834,12.689025,21.238808,15.157228
12.383446,9.612728,12.863344,21.259864,15.15288
12.661038,9.545983,13.053497,21.279959,15.148616
12.969589,9.385578,13.263438,21.298634,15.144451
13.338636,9.209101,13.498381,21.315199,15.140398
13.900834,9.169359,13.765095,21.32875,15.136465
14.06465,9.192534,14.070549,21.338577,15.13267
13.862368,9.222836,14.410179,21.345973,16.184733
13.841418,9.270025,14.722333,21.360762,17.205548
13.862303,9.350774,14.882796,21.402169,17.321652
13.899414,9.464545,14.936464,21.464091,16.759658
13.961505,9.556956,14.940838,21.527651,16.034559
14.01544,9.501078,14.737473,21.586684,15.113626
14.0681,9.375986,14.453986,21.640475,15.111088
14.130244,9.265552,14.218478,21.689112,15.108737
14.203473,9.174154,14.032232,21.732554,15.106577
14.285425,9.095993,13.881455,21.770541,15.104599
